candidate,reference,label,metric,delta_mean,delta_ci_low,delta_ci_high,confidence_level,valid_replicates,interpretation
image_plus_masks,original,Cardiomegaly,auroc,0.014680230330591494,-0.022166853934984056,0.054541394624819405,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Effusion,auroc,0.0072535518886519025,-0.006840927819353412,0.021066546473397074,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Infiltration,auroc,0.00817369572530378,-0.011143419141076012,0.027715279417058817,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Mass,auroc,-0.014797433380699406,-0.04831599761374352,0.01854709388443829,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Nodule,auroc,-0.028147923877692407,-0.06789136337637795,0.011099325355522239,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Pneumonia,auroc,0.07746671780471588,-0.006066393492336731,0.16595474728813098,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Pneumothorax,auroc,0.025010056909267817,0.00029620978360752416,0.05150709537707833,0.95,2000,CANDIDATE_HIGHER
image_plus_masks,original,Consolidation,auroc,-0.0013320344353062615,-0.048546198514731805,0.043379781220978804,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Edema,auroc,0.0075676288516351884,-0.03514986589478915,0.04831288558931503,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Emphysema,auroc,0.07331302327454302,0.03251171233951287,0.12063172325235243,0.95,2000,CANDIDATE_HIGHER
image_plus_masks,original,Fibrosis,auroc,-0.049162879227535566,-0.13360112388474144,0.03286236863844482,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Pleural_Thickening,auroc,0.018516027634406244,-0.04000684055680404,0.07990688035488208,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Hernia,auroc,-0.12085264652499055,-0.4533881578947368,0.14206155210392743,0.95,1993,NO_CLEAR_DIFFERENCE
image_plus_masks,original,ALL_LABELS,macro_auroc,0.0020586282627483047,-0.02448546512522461,0.02417651224301489,0.95,2000,NO_CLEAR_DIFFERENCE
