scope,label,metric,confidence_level,densenet_ci_low,densenet_ci_high,rad_dino_ci_low,rad_dino_ci_high,delta_ci_low,delta_ci_high,densenet_valid_replicates,rad_dino_valid_replicates,delta_valid_replicates,interpretation
macro,ALL_LABELS,f1,0.95,0.30538358747077654,0.335167161226656,0.3082579902219783,0.3330614817454854,-0.012630250028234636,0.014780804069177339,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Atelectasis,sensitivity,0.95,0.4937663407276447,0.5621371460811552,0.544671229018311,0.6146877861893029,0.02843742482479171,0.07665274320872044,1000,1000,1000,RAD_DINO_HIGHER
label,Cardiomegaly,sensitivity,0.95,0.4230107973421927,0.550534323346026,0.4011801812513211,0.5370209303862292,-0.06013247360191151,0.018753917807697838,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Effusion,sensitivity,0.95,0.656604801967948,0.7082867414059253,0.6786136137269105,0.7326448986294772,0.005178956513872212,0.04528813280387326,1000,1000,1000,RAD_DINO_HIGHER
label,Infiltration,sensitivity,0.95,0.7559605050181024,0.8006621680832986,0.7535868581333741,0.7990565759391454,-0.016635187549758516,0.010640549966307183,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Mass,sensitivity,0.95,0.3127665980241378,0.40213477019539523,0.4464962190800157,0.5377220086930669,0.1057495092693566,0.16629042113955406,1000,1000,1000,RAD_DINO_HIGHER
label,Nodule,sensitivity,0.95,0.27857162570735483,0.36821177694028656,0.1952990109798005,0.26675294487828977,-0.1251569264069264,-0.0631883387180697,1000,1000,1000,DENSENET_HIGHER
label,Pneumonia,sensitivity,0.95,0.5071303198698834,0.6098153348876643,0.29760066972583105,0.3952237944596443,-0.2658487753118035,-0.16420469090477702,1000,1000,1000,DENSENET_HIGHER
label,Pneumothorax,sensitivity,0.95,0.44480506837334427,0.5403912969817408,0.6462941153178445,0.7331037027344296,0.15801557125457838,0.24141664550500092,1000,1000,1000,RAD_DINO_HIGHER
label,Consolidation,sensitivity,0.95,0.35949219132363336,0.43863748446722584,0.6089198207277786,0.692849540970881,0.21609918979440185,0.298020710818382,1000,1000,1000,RAD_DINO_HIGHER
label,Edema,sensitivity,0.95,0.431520245583937,0.5381325557931238,0.3954795839753467,0.49945879657507086,-0.0782059592374556,0.004640596513394344,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Emphysema,sensitivity,0.95,0.4427846645234019,0.5419566852230937,0.647582339204625,0.7377817723115736,0.14349080912681847,0.25769352587821853,1000,1000,1000,RAD_DINO_HIGHER
label,Fibrosis,sensitivity,0.95,0.2561490434184901,0.36979231252325084,0.03399269662921349,0.11402847882026919,-0.3033908906113878,-0.18048433822625923,1000,1000,1000,DENSENET_HIGHER
label,Pleural_Thickening,sensitivity,0.95,0.3438476815644224,0.4447599177485863,0.28699006429373664,0.3812549649146034,-0.09893566752719897,-0.02600649719890574,1000,1000,1000,DENSENET_HIGHER
label,Hernia,sensitivity,0.95,0.0641025641025641,0.3770108695652173,0.18835666912306565,0.5,-0.041288005345806705,0.3276202359346642,1000,1000,1000,NO_CLEAR_DIFFERENCE
macro,ALL_LABELS,sensitivity,0.95,0.4474273164514587,0.4806922790433476,0.47250213805857316,0.5035842107606558,0.006971377347125641,0.040154338189658065,1000,1000,1000,RAD_DINO_HIGHER
label,Atelectasis,specificity,0.95,0.8055979661710309,0.8378929240917945,0.7662479476768488,0.8042233845626994,-0.051590663330342804,-0.02495066888083612,1000,1000,1000,DENSENET_HIGHER
label,Cardiomegaly,specificity,0.95,0.9497363478738439,0.9654018838234782,0.9526456023275925,0.9701481637405607,-0.000689964969479296,0.007869485709863165,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Effusion,specificity,0.95,0.7763298171488987,0.8112290812616062,0.7398743430361548,0.7822833160359756,-0.044801462594022165,-0.020557298518905052,1000,1000,1000,DENSENET_HIGHER
